Cell_id	Site01	Site02	Site03
step9_VE_iblms369zydmqt8amgrd_cell20	R-17	R-5	R-5
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell10	R-17	R-5	R-5
step9_VE_dt1zyooaebih7jfyog3r_cell13	R-17	R-5	R-3
step9_ExE_1ydq5j6hqtviq3szwye8_cell33	R-17	R-8	R-3
step9_VE_iblms369zydmqt8amgrd_cell30	R-17	R-5	R-10
step9_Foregut1_9gaulrk46n65yqmvzw8y_cell27	R-17	R-5	R-10
step9_RM_s7yljlsdcjgpltg9vsbz_cell15	R-17	R-5	R-39
step9_VE_k4ufema8le74egqgofpb_cell2	R-17	R-8	R-3
step9_ExE_1ydq5j6hqtviq3szwye8_cell30	R-17	R-8	R-3
step9_ExE_nibp8ht25gt3rmx9o78s_cell26	R-17	R-8	R-3
step9_VE_iblms369zydmqt8amgrd_cell16	R-17	R-5	R-88
step9_ExE_dt43yh3gij1w2up49fpj_cell10	R-17	R-8	R-3
step9_ExE_nibp8ht25gt3rmx9o78s_cell16	R-17	R-8	R-3
step9_ExE_nibp8ht25gt3rmx9o78s_cell29	R-17	R-8	R-3
step9_VE_iblms369zydmqt8amgrd_cell12	R-17	R-8	R-3
step9_VE_dt1zyooaebih7jfyog3r_cell6	R-17	R-8	R-3
step9_ExE_ob1pnjghulpjawsagdrf_cell1	R-17	R-5	R-88
step9_ExE_rqkz6gbod1o3uwlmucg1_cell2	R-17	R-5	R-88
step9_ExEc_wsgftfkniik728dyrozi_cell28	R-17	R-8	R-29
step9_ExE_1ydq5j6hqtviq3szwye8_cell17	R-17	R-5	R-88
step9_MTr_dv2s451wzf8ww51y74bw_cell3	R-17	R-8	R-3
step9_MTr_61rwktv5g75j1vntxmrl_cell4	R-17	R-8	R-3
step9_PM_kpdnxg85a5qombh983pv_cell3	R-17	R-8	R-3
step9_ExEc_28yb9pgez73wp6bfoxpp_cell24	R-17	R-8	R-1
step9_ExEc_28yb9pgez73wp6bfoxpp_cell13	R-17	R-8	R-54
step9_ExEc_wsgftfkniik728dyrozi_cell22	R-17	R-8	R-11
step9_ExE_1ydq5j6hqtviq3szwye8_cell5	R-17	R-5	R-5
step9_ExEc_wsgftfkniik728dyrozi_cell30	R-17	R-46	R-2
step9_ExE_cvpyd2cjtjzssruojtxr_cell1	R-17	R-5	R-5
step9_ExE_dt43yh3gij1w2up49fpj_cell3	R-17	R-5	R-5
step9_SE_4px85t8ebc9pblit7nfo_cell3	R-17	R-8	R-3
step9_ExEc_wsgftfkniik728dyrozi_cell6	R-17	R-8	R-3
step9_ExEc_wsgftfkniik728dyrozi_cell29	R-17	R-8	R-3
step9_MTr_44btmtxi46cfowc9syvd_cell31	R-17	R-43	R-2
step9_LM_ummziu8je45t8bwd1ssi_cell45	R-17	R-8	R-3
step9_Foregut_bnowzacs3e9lx8c7ierz_cell2	R-17	R-8	R-3
step9_Node_o8nez1z564u4bgkfoi8m_cell10	R-17	R-8	R-15
step9_VE_p84e94ax4x7bjujxy7ue_cell5	R-17	R-8	R-3
step9_VE_fp7uuy3ecudnfyzvtnmf_cell2	R-17	R-8	R-3
step9_NP_hbtadfkyg2wtsu5zw2c1_cell1	R-17	R-8	R-15
step9_SE_yw3ew6vii1be2orhxeb8_cell28	R-17	R-8	R-15
step9_ExEc_ee47pq1arpwcxmrb8dby_cell3	R-17	R-8	R-3
step9_ExEc_jmclxul2x6fcwgqiymyy_cell2	R-17	R-8	R-3
step9_ExE_nibp8ht25gt3rmx9o78s_cell34	R-17	R-5	R-39
step9_NP_vlugemo4cu261xpcfn4j_cell15	R-17	R-5	R-2
step9_CMy_qvd1xogbwba9rj7uj5mk_cell39	R-17	R-5	R-2
step9_ExE_nibp8ht25gt3rmx9o78s_cell12	R-17	R-16	R-2
step9_ExE_dt43yh3gij1w2up49fpj_cell7	R-17	R-16	R-2
step9_MTr_dv2s451wzf8ww51y74bw_cell15	R-17	R-17	R-2
step9_ExEc_os9ehd1zh2z9fdsjln4g_cell5	R-17	R-8	R-16
step9_ExEc_dcz7elor546xxjdf2zwg_cell2	R-17	R-8	0
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell3	R-17	R-5	R-5
step9_PM_kpdnxg85a5qombh983pv_cell38	R-17	R-8	R-15
step9_VE_dt1zyooaebih7jfyog3r_cell20	R-17	R-16	R-2
step9_VE_iblms369zydmqt8amgrd_cell13	R-17	R-16	R-2
step9_Foregut1_9gaulrk46n65yqmvzw8y_cell11	R-17	R-16	R-2
step9_PM_4wybcp8sjowpblyxkdaz_cell9	R-17	R-5	R-2
step9_SE_4px85t8ebc9pblit7nfo_cell19	R-17	R-5	R-2
step9_Node_o8nez1z564u4bgkfoi8m_cell11	R-17	R-8	R-3
step9_VE_dt1zyooaebih7jfyog3r_cell7	R-17	R-16	R-2
step9_Foregut_lhbxjqv3ixy35wujppe8_cell4	R-17	R-8	R-3
step9_MTr_99bpipxlo89jvcp2vr46_cell3	R-17	R-8	R-3
step9_ExE_1ydq5j6hqtviq3szwye8_cell9	R-17	R-5	R-2
step9_ExE_dt43yh3gij1w2up49fpj_cell4	R-17	R-5	R-2
step9_Foregut_64itb6yij735r7vqfut3_cell21	R-17	R-8	R-15
step9_A/C_ds2q4kalqkri4b1byfoj_cell28	R-17	R-8	R-15
step9_PM_kpdnxg85a5qombh983pv_cell1	R-17	R-8	R-15
step9_SE_gj8xc1nruazati5qe6vo_cell4	R-17	R-8	R-15
step9_MTr_dv2s451wzf8ww51y74bw_cell24	R-17	R-8	R-3
step9_MTr_dv2s451wzf8ww51y74bw_cell14	R-17	R-8	R-3
step9_ExE_nibp8ht25gt3rmx9o78s_cell23	R-17	R-8	R-3
step9_VE_iblms369zydmqt8amgrd_cell14	R-17	R-8	R-15
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell18	R-17	R-8	R-15
step9_ExE_1ydq5j6hqtviq3szwye8_cell22	R-17	R-16	R-2
step9_Al_z54k2mn1kspqdfxi1pdr_cell16	R-17	R-8	R-15
step9_MTr_61rwktv5g75j1vntxmrl_cell9	R-17	R-11	R-2
step9_RM_truofavbwy8t6xfngi6p_cell1	R-17	R-8	R-3
step9_MTr_428ce488499ho5osykg3_cell1	R-17	R-8	R-15
step9_NP_s8bfpphce7f5n4q9qnv1_cell1	R-17	R-5	R-39
step9_ExEc_28yb9pgez73wp6bfoxpp_cell3	R-17	R-8	R-3
step9_Foregut_5pd1g2sm4l6dpcwuqwdd_cell2	R-17	R-8	R-3
step9_A/C_aqxukpwbp9bfzyy33zt9_cell8	R-17	R-8	R-3
step9_LM_ummziu8je45t8bwd1ssi_cell17	R-17	R-8	R-3
step9_MTr_tox4gofgzxkyggtufbv7_cell2	R-17	R-8	R-18
step9_MTr_44btmtxi46cfowc9syvd_cell38	R-17	R-8	R-18
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell5	R-17	R-8	R-3
step9_VE_iblms369zydmqt8amgrd_cell34	R-17	R-5	R-142
